geoid,tract,block_group,county_fips,name,total_pop,median_income,total_hh,zero_veh_hh,zero_veh_rate,total_workers,transit_commuters,transit_share,pop_under_18,pop_65_plus,lat,lon,is_synthetic
060855027011,502701,1,085,Block Group 1; Census Tract 5027.01; Santa Clara County; California,1596,111953,592,21,0.036,835,10,0.0119,0,359,37.2711908,-121.9382471,False
060855027012,502701,2,085,Block Group 2; Census Tract 5027.01; Santa Clara County; California,2193,134375,813,29,0.036,1148,14,0.0119,0,151,37.2711908,-121.9382471,False
060855027013,502701,3,085,Block Group 3; Census Tract 5027.01; Santa Clara County; California,1822,150509,676,24,0.036,954,11,0.0119,0,160,37.2711908,-121.9382471,False
060855027031,502703,1,085,Block Group 1; Census Tract 5027.03; Santa Clara County; California,1134,229127,472,6,0.012,632,36,0.0567,0,245,37.261793,-121.945591,False
060855027032,502703,2,085,Block Group 2; Census Tract 5027.03; Santa Clara County; California,1245,131090,518,6,0.012,694,39,0.0567,0,136,37.261793,-121.945591,False
060855027033,502703,3,085,Block Group 3; Census Tract 5027.03; Santa Clara County; California,1636,139500,680,8,0.012,912,52,0.0567,0,215,37.261793,-121.945591,False
060855027041,502704,1,085,Block Group 1; Census Tract 5027.04; Santa Clara County; California,1446,84886,533,44,0.0826,720,5,0.0063,0,318,37.2550203,-121.9400151,False
060855027042,502704,2,085,Block Group 2; Census Tract 5027.04; Santa Clara County; California,1453,208889,535,44,0.0826,723,5,0.0063,0,105,37.2550203,-121.9400151,False
060855027043,502704,3,085,Block Group 3; Census Tract 5027.04; Santa Clara County; California,1244,250001,458,38,0.0826,619,4,0.0063,0,217,37.2550203,-121.9400151,False
060855028001,502800,1,085,Block Group 1; Census Tract 5028; Santa Clara County; California,1257,250001,405,8,0.0189,653,9,0.0135,0,158,37.255728,-121.9230305,False
060855028002,502800,2,085,Block Group 2; Census Tract 5028; Santa Clara County; California,2047,144250,660,13,0.0189,1063,14,0.0135,0,152,37.255728,-121.9230305,False
060855028003,502800,3,085,Block Group 3; Census Tract 5028; Santa Clara County; California,1115,167440,360,7,0.0189,579,8,0.0135,0,189,37.255728,-121.9230305,False
060855029011,502901,1,085,Block Group 1; Census Tract 5029.01; Santa Clara County; California,2050,181629,711,38,0.0534,1151,65,0.0562,0,236,37.2713891,-121.9270197,False
060855029012,502901,2,085,Block Group 2; Census Tract 5029.01; Santa Clara County; California,1512,209779,524,28,0.0534,849,48,0.0562,0,237,37.2713891,-121.9270197,False
060855029013,502901,3,085,Block Group 3; Census Tract 5029.01; Santa Clara County; California,935,196250,324,17,0.0534,525,29,0.0562,0,92,37.2713891,-121.9270197,False
060855029014,502901,4,085,Block Group 4; Census Tract 5029.01; Santa Clara County; California,1716,94677,595,32,0.0534,963,54,0.0562,0,211,37.2713891,-121.9270197,False
060855029021,502902,1,085,Block Group 1; Census Tract 5029.02; Santa Clara County; California,2989,224000,993,42,0.0424,1543,28,0.0182,0,569,37.273586,-121.9156579,False
060855029022,502902,2,085,Block Group 2; Census Tract 5029.02; Santa Clara County; California,2516,173779,836,35,0.0424,1299,24,0.0182,0,335,37.273586,-121.9156579,False
060855029023,502902,3,085,Block Group 3; Census Tract 5029.02; Santa Clara County; California,3650,161188,1212,51,0.0424,1884,34,0.0182,0,478,37.273586,-121.9156579,False
060855029031,502903,1,085,Block Group 1; Census Tract 5029.03; Santa Clara County; California,2095,199904,748,10,0.0133,1007,8,0.0075,0,484,37.2779339,-121.9050522,False
060855029032,502903,2,085,Block Group 2; Census Tract 5029.03; Santa Clara County; California,1456,231467,520,7,0.0133,700,5,0.0075,0,224,37.2779339,-121.9050522,False
060855029033,502903,3,085,Block Group 3; Census Tract 5029.03; Santa Clara County; California,1719,181250,614,8,0.0133,826,6,0.0075,0,265,37.2779339,-121.9050522,False
060855029061,502906,1,085,Block Group 1; Census Tract 5029.06; Santa Clara County; California,1439,103628,468,7,0.0148,750,37,0.0492,0,61,37.2478128,-121.9014134,False
060855029062,502906,2,085,Block Group 2; Census Tract 5029.06; Santa Clara County; California,1619,173125,527,8,0.0148,844,41,0.0492,0,152,37.2478128,-121.9014134,False
060855029063,502906,3,085,Block Group 3; Census Tract 5029.06; Santa Clara County; California,1937,158750,630,9,0.0148,1010,50,0.0492,0,285,37.2478128,-121.9014134,False
060855029071,502907,1,085,Block Group 1; Census Tract 5029.07; Santa Clara County; California,1773,174167,606,3,0.0045,877,18,0.0202,0,226,37.2633246,-121.8972821,False
060855029072,502907,2,085,Block Group 2; Census Tract 5029.07; Santa Clara County; California,2139,142500,730,3,0.0045,1057,21,0.0202,0,579,37.2633246,-121.8972821,False
060855029081,502908,1,085,Block Group 1; Census Tract 5029.08; Santa Clara County; California,2734,91944,929,25,0.0273,1364,0,0.0,0,77,37.2593227,-121.9087021,False
060855029082,502908,2,085,Block Group 2; Census Tract 5029.08; Santa Clara County; California,2060,209297,700,19,0.0273,1028,0,0.0,0,334,37.2593227,-121.9087021,False
060855029083,502908,3,085,Block Group 3; Census Tract 5029.08; Santa Clara County; California,1670,169653,567,16,0.0273,833,0,0.0,0,373,37.2593227,-121.9087021,False
060855029091,502909,1,085,Block Group 1; Census Tract 5029.09; Santa Clara County; California,1134,129946,465,15,0.0327,603,13,0.0214,0,93,37.2565056,-121.8874578,False
060855029092,502909,2,085,Block Group 2; Census Tract 5029.09; Santa Clara County; California,870,138281,357,12,0.0327,463,10,0.0214,0,152,37.2565056,-121.8874578,False
060855029093,502909,3,085,Block Group 3; Census Tract 5029.09; Santa Clara County; California,1519,123625,623,20,0.0327,808,17,0.0214,0,97,37.2565056,-121.8874578,False
060855029094,502909,4,085,Block Group 4; Census Tract 5029.09; Santa Clara County; California,1395,86343,572,19,0.0327,742,16,0.0214,0,288,37.2565056,-121.8874578,False
060855029101,502910,1,085,Block Group 1; Census Tract 5029.10; Santa Clara County; California,890,151957,319,10,0.0324,475,11,0.0241,0,155,37.2514817,-121.8840433,False
060855029102,502910,2,085,Block Group 2; Census Tract 5029.10; Santa Clara County; California,896,197857,321,10,0.0324,478,12,0.0241,0,112,37.2514817,-121.8840433,False
060855029103,502910,3,085,Block Group 3; Census Tract 5029.10; Santa Clara County; California,1324,124878,474,15,0.0324,706,17,0.0241,0,67,37.2514817,-121.8840433,False
060855029104,502910,4,085,Block Group 4; Census Tract 5029.10; Santa Clara County; California,850,90991,305,10,0.0324,453,11,0.0241,0,191,37.2514817,-121.8840433,False
060855030021,503002,1,085,Block Group 1; Census Tract 5030.02; Santa Clara County; California,1639,114755,575,45,0.0777,844,23,0.0275,0,222,37.276823,-121.8872996,False
060855030022,503002,2,085,Block Group 2; Census Tract 5030.02; Santa Clara County; California,2175,164500,764,59,0.0777,1120,31,0.0275,0,690,37.276823,-121.8872996,False
060855030031,503003,1,085,Block Group 1; Census Tract 5030.03; Santa Clara County; California,1741,174132,616,16,0.0252,830,9,0.0112,0,240,37.2674809,-121.8850395,False
060855030032,503003,2,085,Block Group 2; Census Tract 5030.03; Santa Clara County; California,1834,152604,649,16,0.0252,874,10,0.0112,0,270,37.2674809,-121.8850395,False
060855030033,503003,3,085,Block Group 3; Census Tract 5030.03; Santa Clara County; California,1475,173220,522,13,0.0252,703,8,0.0112,0,156,37.2674809,-121.8850395,False
060855065021,506502,1,085,Block Group 1; Census Tract 5065.02; Santa Clara County; California,1550,147083,668,7,0.0109,946,14,0.0151,0,202,37.2792209,-121.9460918,False
060855065022,506502,2,085,Block Group 2; Census Tract 5065.02; Santa Clara County; California,442,172045,191,2,0.0109,270,4,0.0151,0,41,37.2792209,-121.9460918,False
060855065023,506502,3,085,Block Group 3; Census Tract 5065.02; Santa Clara County; California,2901,121648,1250,14,0.0109,1770,27,0.0151,0,170,37.2792209,-121.9460918,False
060855067011,506701,1,085,Block Group 1; Census Tract 5067.01; Santa Clara County; California,580,215769,178,1,0.0053,315,3,0.0108,0,99,37.2706528,-121.9793303,False
060855067012,506701,2,085,Block Group 2; Census Tract 5067.01; Santa Clara County; California,2061,185855,632,3,0.0053,1119,12,0.0108,0,331,37.2706528,-121.9793303,False
060855067013,506701,3,085,Block Group 3; Census Tract 5067.01; Santa Clara County; California,1627,250001,499,3,0.0053,884,10,0.0108,0,213,37.2706528,-121.9793303,False
060855067021,506702,1,085,Block Group 1; Census Tract 5067.02; Santa Clara County; California,2425,104884,833,27,0.0326,1112,46,0.0414,0,269,37.2743294,-121.9625593,False
060855067022,506702,2,085,Block Group 2; Census Tract 5067.02; Santa Clara County; California,1590,196071,546,18,0.0326,729,30,0.0414,0,255,37.2743294,-121.9625593,False
060855067023,506702,3,085,Block Group 3; Census Tract 5067.02; Santa Clara County; California,1784,142946,613,20,0.0326,818,34,0.0414,0,66,37.2743294,-121.9625593,False
060855067031,506703,1,085,Block Group 1; Census Tract 5067.03; Santa Clara County; California,1811,209464,677,49,0.0724,793,6,0.0076,0,244,37.2646993,-121.9669404,False
060855067032,506703,2,085,Block Group 2; Census Tract 5067.03; Santa Clara County; California,1036,137169,387,28,0.0724,454,3,0.0076,0,169,37.2646993,-121.9669404,False
060855067033,506703,3,085,Block Group 3; Census Tract 5067.03; Santa Clara County; California,775,0,290,21,0.0724,339,3,0.0076,0,283,37.2646993,-121.9669404,False
060855068011,506801,1,085,Block Group 1; Census Tract 5068.01; Santa Clara County; California,2223,189231,764,37,0.0491,995,11,0.0113,0,453,37.2422641,-121.9563613,False
060855068012,506801,2,085,Block Group 2; Census Tract 5068.01; Santa Clara County; California,1414,117327,486,24,0.0491,633,7,0.0113,0,332,37.2422641,-121.9563613,False
060855068013,506801,3,085,Block Group 3; Census Tract 5068.01; Santa Clara County; California,1687,250001,579,28,0.0491,755,9,0.0113,0,184,37.2422641,-121.9563613,False
060855068014,506801,4,085,Block Group 4; Census Tract 5068.01; Santa Clara County; California,787,250001,270,13,0.0491,352,4,0.0113,0,88,37.2422641,-121.9563613,False
060855068021,506802,1,085,Block Group 1; Census Tract 5068.02; Santa Clara County; California,1588,228182,525,16,0.0303,818,12,0.0152,0,264,37.2469476,-121.9361955,False
060855068022,506802,2,085,Block Group 2; Census Tract 5068.02; Santa Clara County; California,1238,225775,409,12,0.0303,638,10,0.0152,0,126,37.2469476,-121.9361955,False
060855068023,506802,3,085,Block Group 3; Census Tract 5068.02; Santa Clara County; California,808,185000,267,8,0.0303,416,6,0.0152,0,119,37.2469476,-121.9361955,False
060855068024,506802,4,085,Block Group 4; Census Tract 5068.02; Santa Clara County; California,560,135125,185,6,0.0303,289,4,0.0152,0,100,37.2469476,-121.9361955,False
060855068025,506802,5,085,Block Group 5; Census Tract 5068.02; Santa Clara County; California,1691,172823,559,17,0.0303,872,13,0.0152,0,126,37.2469476,-121.9361955,False
060855068031,506803,1,085,Block Group 1; Census Tract 5068.03; Santa Clara County; California,1708,238495,551,4,0.007,864,8,0.0095,0,181,37.2428218,-121.9143244,False
060855068032,506803,2,085,Block Group 2; Census Tract 5068.03; Santa Clara County; California,1250,214844,403,3,0.007,632,6,0.0095,0,261,37.2428218,-121.9143244,False
060855068033,506803,3,085,Block Group 3; Census Tract 5068.03; Santa Clara County; California,2843,0,917,6,0.007,1438,14,0.0095,0,230,37.2428218,-121.9143244,False
060855068034,506803,4,085,Block Group 4; Census Tract 5068.03; Santa Clara County; California,1289,141149,416,3,0.007,652,6,0.0095,0,89,37.2428218,-121.9143244,False
060855068041,506804,1,085,Block Group 1; Census Tract 5068.04; Santa Clara County; California,704,155871,243,7,0.0309,373,0,0.0,0,194,37.2397512,-121.9339441,False
060855068042,506804,2,085,Block Group 2; Census Tract 5068.04; Santa Clara County; California,1571,177459,542,17,0.0309,833,0,0.0,0,102,37.2397512,-121.9339441,False
060855068043,506804,3,085,Block Group 3; Census Tract 5068.04; Santa Clara County; California,1723,250001,594,18,0.0309,914,0,0.0,0,309,37.2397512,-121.9339441,False
060855068044,506804,4,085,Block Group 4; Census Tract 5068.04; Santa Clara County; California,604,250001,208,6,0.0309,320,0,0.0,0,19,37.2397512,-121.9339441,False
060855069001,506900,1,085,Block Group 1; Census Tract 5069; Santa Clara County; California,1604,181635,550,26,0.0464,673,7,0.0105,0,115,37.2276416,-121.9321866,False
060855069002,506900,2,085,Block Group 2; Census Tract 5069; Santa Clara County; California,1844,150221,632,29,0.0464,773,8,0.0105,0,382,37.2276416,-121.9321866,False
060855069003,506900,3,085,Block Group 3; Census Tract 5069; Santa Clara County; California,2133,228816,731,34,0.0464,895,9,0.0105,0,456,37.2276416,-121.9321866,False
060855069004,506900,4,085,Block Group 4; Census Tract 5069; Santa Clara County; California,2593,239107,889,41,0.0464,1087,11,0.0105,0,635,37.2276416,-121.9321866,False
060855070021,507002,1,085,Block Group 1; Census Tract 5070.02; Santa Clara County; California,2104,250001,695,0,0.0,839,0,0.0,0,421,37.2095662,-121.9492296,False
060855070022,507002,2,085,Block Group 2; Census Tract 5070.02; Santa Clara County; California,1311,250001,433,0,0.0,522,0,0.0,0,301,37.2095662,-121.9492296,False
060855070031,507003,1,085,Block Group 1; Census Tract 5070.03; Santa Clara County; California,1254,250001,490,24,0.0483,555,7,0.0132,0,181,37.2199919,-121.9979469,False
060855070032,507003,2,085,Block Group 2; Census Tract 5070.03; Santa Clara County; California,1820,182759,710,34,0.0483,805,11,0.0132,0,635,37.2199919,-121.9979469,False
060855070041,507004,1,085,Block Group 1; Census Tract 5070.04; Santa Clara County; California,1498,149639,662,10,0.015,665,0,0.0,0,203,37.2260168,-121.9763843,False
060855070042,507004,2,085,Block Group 2; Census Tract 5070.04; Santa Clara County; California,1936,239981,856,13,0.015,860,0,0.0,0,520,37.2260168,-121.9763843,False
060855070043,507004,3,085,Block Group 3; Census Tract 5070.04; Santa Clara County; California,492,138750,217,3,0.015,218,0,0.0,0,125,37.2260168,-121.9763843,False
060855071001,507100,1,085,Block Group 1; Census Tract 5071; Santa Clara County; California,803,186389,368,17,0.0475,405,3,0.0065,0,131,37.238092,-121.973612,False
060855071002,507100,2,085,Block Group 2; Census Tract 5071; Santa Clara County; California,2226,159511,1021,49,0.0475,1124,7,0.0065,0,288,37.238092,-121.973612,False
060855072031,507203,1,085,Block Group 1; Census Tract 5072.03; Santa Clara County; California,1718,164148,650,6,0.0091,934,15,0.0156,0,188,37.251361,-121.964454,False
060855072032,507203,2,085,Block Group 2; Census Tract 5072.03; Santa Clara County; California,1474,250001,557,5,0.0091,801,12,0.0156,0,268,37.251361,-121.964454,False
060855072051,507205,1,085,Block Group 1; Census Tract 5072.05; Santa Clara County; California,572,212500,224,2,0.0099,261,1,0.0047,0,49,37.2576127,-121.9812179,False
060855072052,507205,2,085,Block Group 2; Census Tract 5072.05; Santa Clara County; California,1504,180000,590,6,0.0099,687,3,0.0047,0,377,37.2576127,-121.9812179,False
060855072053,507205,3,085,Block Group 3; Census Tract 5072.05; Santa Clara County; California,1853,189125,727,7,0.0099,847,4,0.0047,0,266,37.2576127,-121.9812179,False
060855072054,507205,4,085,Block Group 4; Census Tract 5072.05; Santa Clara County; California,723,250001,283,3,0.0099,330,2,0.0047,0,164,37.2576127,-121.9812179,False
060855072061,507206,1,085,Block Group 1; Census Tract 5072.06; Santa Clara County; California,1474,250001,519,0,0.0,540,3,0.0063,0,408,37.2436526,-121.985561,False
060855072062,507206,2,085,Block Group 2; Census Tract 5072.06; Santa Clara County; California,1120,250001,395,0,0.0,410,3,0.0063,0,271,37.2436526,-121.985561,False
060855073011,507301,1,085,Block Group 1; Census Tract 5073.01; Santa Clara County; California,1135,250001,410,14,0.0349,484,4,0.0093,0,57,37.2588676,-122.0079378,False
060855073012,507301,2,085,Block Group 2; Census Tract 5073.01; Santa Clara County; California,1339,225977,483,17,0.0349,571,5,0.0093,0,343,37.2588676,-122.0079378,False
060855073013,507301,3,085,Block Group 3; Census Tract 5073.01; Santa Clara County; California,662,180673,239,8,0.0349,282,3,0.0093,0,152,37.2588676,-122.0079378,False
060855073014,507301,4,085,Block Group 4; Census Tract 5073.01; Santa Clara County; California,684,250001,247,9,0.0349,292,3,0.0093,0,107,37.2588676,-122.0079378,False
060855073015,507301,5,085,Block Group 5; Census Tract 5073.01; Santa Clara County; California,1574,229929,568,20,0.0349,671,6,0.0093,0,468,37.2588676,-122.0079378,False
060855073016,507301,6,085,Block Group 6; Census Tract 5073.01; Santa Clara County; California,1426,250001,515,18,0.0349,608,6,0.0093,0,614,37.2588676,-122.0079378,False
060855073021,507302,1,085,Block Group 1; Census Tract 5073.02; Santa Clara County; California,1781,250001,615,0,0.0,872,11,0.0124,0,477,37.2383772,-122.0292561,False
060855073022,507302,2,085,Block Group 2; Census Tract 5073.02; Santa Clara County; California,859,194531,297,0,0.0,421,5,0.0124,0,337,37.2383772,-122.0292561,False
060855075001,507500,1,085,Block Group 1; Census Tract 5075; Santa Clara County; California,1616,250001,580,4,0.0073,682,12,0.0177,0,292,37.2743998,-122.0239726,False
060855075002,507500,2,085,Block Group 2; Census Tract 5075; Santa Clara County; California,1266,211125,454,3,0.0073,534,9,0.0177,0,328,37.2743998,-122.0239726,False
060855075003,507500,3,085,Block Group 3; Census Tract 5075; Santa Clara County; California,1340,239333,481,3,0.0073,566,10,0.0177,0,310,37.2743998,-122.0239726,False
060855075004,507500,4,085,Block Group 4; Census Tract 5075; Santa Clara County; California,1525,172962,547,4,0.0073,644,11,0.0177,0,535,37.2743998,-122.0239726,False
060855076001,507600,1,085,Block Group 1; Census Tract 5076; Santa Clara County; California,765,250001,256,7,0.0278,327,3,0.0089,0,161,37.2712569,-122.0526822,False
060855076002,507600,2,085,Block Group 2; Census Tract 5076; Santa Clara County; California,1267,172069,424,12,0.0278,542,5,0.0089,0,475,37.2712569,-122.0526822,False
060855076003,507600,3,085,Block Group 3; Census Tract 5076; Santa Clara County; California,1733,250001,580,16,0.0278,741,7,0.0089,0,375,37.2712569,-122.0526822,False
060855076004,507600,4,085,Block Group 4; Census Tract 5076; Santa Clara County; California,2253,250001,754,21,0.0278,963,9,0.0089,0,369,37.2712569,-122.0526822,False
060855118001,511800,1,085,Block Group 1; Census Tract 5118; Santa Clara County; California,2149,222188,784,10,0.0133,1128,28,0.0252,0,333,37.160449,-121.9417467,False
060855118002,511800,2,085,Block Group 2; Census Tract 5118; Santa Clara County; California,1279,250001,467,6,0.0133,671,17,0.0252,0,173,37.160449,-121.9417467,False
060855118003,511800,3,085,Block Group 3; Census Tract 5118; Santa Clara County; California,1110,120659,405,5,0.0133,583,15,0.0252,0,84,37.160449,-121.9417467,False
060855119131,511913,1,085,Block Group 1; Census Tract 5119.13; Santa Clara County; California,1193,203281,369,6,0.0161,601,18,0.0296,0,348,37.2275027,-121.8912184,False
060855119132,511913,2,085,Block Group 2; Census Tract 5119.13; Santa Clara County; California,1744,250001,540,9,0.0161,878,26,0.0296,0,298,37.2275027,-121.8912184,False
060855119133,511913,3,085,Block Group 3; Census Tract 5119.13; Santa Clara County; California,1687,250001,522,8,0.0161,850,25,0.0296,0,238,37.2275027,-121.8912184,False
060855119141,511914,1,085,Block Group 1; Census Tract 5119.14; Santa Clara County; California,2237,250001,695,21,0.03,1007,51,0.0502,0,269,37.2305812,-121.8770809,False
060855119142,511914,2,085,Block Group 2; Census Tract 5119.14; Santa Clara County; California,2706,228977,841,25,0.03,1218,61,0.0502,0,948,37.2305812,-121.8770809,False
060855119143,511914,3,085,Block Group 3; Census Tract 5119.14; Santa Clara County; California,1384,204526,430,13,0.03,623,31,0.0502,0,195,37.2305812,-121.8770809,False
060855119151,511915,1,085,Block Group 1; Census Tract 5119.15; Santa Clara County; California,1343,174450,458,98,0.2139,633,0,0.0,0,180,37.2453788,-121.8801869,False
060855119152,511915,2,085,Block Group 2; Census Tract 5119.15; Santa Clara County; California,1479,110444,505,108,0.2139,697,0,0.0,0,40,37.2453788,-121.8801869,False
060855119153,511915,3,085,Block Group 3; Census Tract 5119.15; Santa Clara County; California,1233,0,421,90,0.2139,581,0,0.0,0,203,37.2453788,-121.8801869,False
060855119161,511916,1,085,Block Group 1; Census Tract 5119.16; Santa Clara County; California,1989,111371,690,41,0.0587,901,23,0.0257,0,286,37.2368478,-121.8958888,False
060855119162,511916,2,085,Block Group 2; Census Tract 5119.16; Santa Clara County; California,2474,220587,859,50,0.0587,1121,29,0.0257,0,306,37.2368478,-121.8958888,False
